V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
0.04195,3e-4,0.0066,0.57336493,2e-4,0.02645,0.0024,4e-4,0.003,0.0537,0.0326,0,0.0015,0.005,0.72385,0,0.0574,0.0028,0.0019,0.0081
